Ticker,Company,Country,BICS_L1,BICS_L2,BICS_L3,tags_en,tags_it
NTGR,NETGEAR INC,US,Technology,Tech Hardware & Semiconductors,Technology Hardware,other,altro
DOV,DOVER CORP,US,Industrials,Industrial Products,Diversified Industrials,industrials;manufacturing;transport,industria;manifattura;trasporti
ALNY,ALNYLAM PHARMACEUTICALS INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
VOR,VOR BIOPHARMA INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
SYM,SYMBOTIC INC,US,Industrials,Industrial Products,Machinery,industrials;manufacturing;transport,industria;manifattura;trasporti
HWBK,HAWTHORN BANCSHARES INC,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
LAND,GLADSTONE LAND CORP,US,Real Estate,Real Estate,REIT,real estate;property,immobiliare;proprietà
ACMR,ACM RESEARCH INC-CLASS A,US,Technology,Tech Hardware & Semiconductors,Semiconductors,other,altro
DIOD,DIODES INC,US,Technology,Tech Hardware & Semiconductors,Semiconductors,other,altro
LH,LABCORP HOLDINGS INC,US,Health Care,Health Care,Health Care Facilities & Svcs,healthcare;biotech;pharma,sanità;biotech;farmaceutica
UPBD,UPBOUND GROUP INC,US,Consumer Discretionary,Consumer Discretionary Services,Consumer Services,consumer;retail;autos,consumi;retail;auto
NRG,NRG ENERGY INC,US,Utilities,Utilities,Electric Utilities,utilities;electricity;water,utilities;elettricità;acqua
DE,DEERE & CO,US,Industrials,Industrial Products,Machinery,industrials;manufacturing;transport,industria;manifattura;trasporti
PDYN,PALLADYNE AI CORP,US,Industrials,Industrial Products,Machinery,industrials;manufacturing;transport,industria;manifattura;trasporti
STRA,STRATEGIC EDUCATION INC,US,Consumer Discretionary,Consumer Discretionary Services,Consumer Services,consumer;retail;autos,consumi;retail;auto
ASMB,ASSEMBLY BIOSCIENCES INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
AFL,AFLAC INC,US,Financials,Insurance,Insurance,banks;insurance;finance,banche;assicurazioni;finanza
HPK,HIGHPEAK ENERGY INC,US,Energy,Oil & Gas,Oil & Gas Supply Chain,oil;gas;energy,petrolio;gas;energia
MOFG,MIDWESTONE FINANCIAL GROUP I,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
LQDA,LIQUIDIA CORP,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
SLP,SIMULATIONS PLUS INC,US,Technology,Software & Tech Services,Software,other,altro
CERS,CERUS CORP,US,Health Care,Health Care,Medical Equipment & Devices,healthcare;biotech;pharma,sanità;biotech;farmaceutica
BHF,BRIGHTHOUSE FINANCIAL INC,US,Financials,Insurance,Insurance,banks;insurance;finance,banche;assicurazioni;finanza
BALL,BALL CORP,US,Materials,Materials,Containers & Packaging,materials;chemicals;metals,materiali;chimica;metalli
CCRN,CROSS COUNTRY HEALTHCARE INC,US,Industrials,Industrial Services,Commercial Support Services,industrials;manufacturing;transport,industria;manifattura;trasporti
INVH,INVITATION HOMES INC,US,Real Estate,Real Estate,REIT,real estate;property,immobiliare;proprietà
SNEX,STONEX GROUP INC,US,Financials,Financial Services,Institutional Financial Svcs,banks;insurance;finance,banche;assicurazioni;finanza
UPWK,UPWORK INC,US,Communications,Media,Internet Media & Services,other,altro
LIEN,CHICAGO ATLANTIC BDC INC,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
PG,PROCTER & GAMBLE CO/THE,US,Consumer Staples,Consumer Staple Products,Household Products,food;beverages;household,alimentari;bevande;casa
AVAV,AEROVIRONMENT INC,US,Industrials,Industrial Products,Aerospace & Defense,industrials;manufacturing;transport,industria;manifattura;trasporti
PHM,PULTEGROUP INC,US,Consumer Discretionary,Consumer Discretionary Products,Home Construction,consumer;retail;autos,consumi;retail;auto
METC,RAMACO RESOURCES INC-A,US,Materials,Materials,Metals & Mining,materials;chemicals;metals,materiali;chimica;metalli
MLYS,MINERALYS THERAPEUTICS INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
K,KELLANOVA,US,Consumer Staples,Consumer Staple Products,Food,food;beverages;household,alimentari;bevande;casa
EMN,EASTMAN CHEMICAL CO,US,Materials,Materials,Chemicals,materials;chemicals;metals,materiali;chimica;metalli
PLBC,PLUMAS BANCORP,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
SVCC,STELLAR V CAPITAL CORP-CL A,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
CRGX,CARGO THERAPEUTICS INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
ALAB,ASTERA LABS INC,US,Technology,Tech Hardware & Semiconductors,Semiconductors,other,altro
AVY,AVERY DENNISON CORP,US,Materials,Materials,Chemicals,materials;chemicals;metals,materiali;chimica;metalli
DUK,DUKE ENERGY CORP,US,Utilities,Utilities,Electric Utilities,utilities;electricity;water,utilities;elettricità;acqua
EZPW,EZCORP INC-CL A,US,Financials,Financial Services,Specialty Finance,banks;insurance;finance,banche;assicurazioni;finanza
IOSP,INNOSPEC INC,US,Materials,Materials,Chemicals,materials;chemicals;metals,materiali;chimica;metalli
PCT,PURECYCLE TECHNOLOGIES INC,US,Industrials,Industrial Services,Commercial Support Services,industrials;manufacturing;transport,industria;manifattura;trasporti
EGHA,EGH ACQUISITION CO-A,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
TACO,BERTO ACQUISITION CORP,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
CPT,CAMDEN PROPERTY TRUST,US,Real Estate,Real Estate,REIT,real estate;property,immobiliare;proprietà
LAMR,LAMAR ADVERTISING CO-A,US,Real Estate,Real Estate,REIT,real estate;property,immobiliare;proprietà
TDAC,TRANSLATIONAL DEVELOPMENT AC,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
RPRX,ROYALTY PHARMA PLC- CL A,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
DYNX,DYNAMIX CORP,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
AIZ,ASSURANT INC,US,Financials,Insurance,Insurance,banks;insurance;finance,banche;assicurazioni;finanza
PZZA,PAPA JOHN'S INTL INC,US,Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,consumer;retail;autos,consumi;retail;auto
AXP,AMERICAN EXPRESS CO,US,Financials,Financial Services,Specialty Finance,banks;insurance;finance,banche;assicurazioni;finanza
VABK,VIRGINIA NATIONAL BANKSHARES,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
TOWN,TOWNE BANK,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
ESPR,ESPERION THERAPEUTICS INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
DHC,DIVERSIFIED HEALTHCARE TRUST,US,Real Estate,Real Estate,REIT,real estate;property,immobiliare;proprietà
NFBK,NORTHFIELD BANCORP INC,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
MCK,MCKESSON CORP,US,Health Care,Health Care,Health Care Facilities & Svcs,healthcare;biotech;pharma,sanità;biotech;farmaceutica
PNTG,PENNANT GROUP INC/THE,US,Health Care,Health Care,Health Care Facilities & Svcs,healthcare;biotech;pharma,sanità;biotech;farmaceutica
VTYX,VENTYX BIOSCIENCES INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
OZK,BANK OZK,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
COCO,VITA COCO CO INC/THE,US,Consumer Staples,Consumer Staple Products,Beverages,food;beverages;household,alimentari;bevande;casa
NEOG,NEOGEN CORP,US,Health Care,Health Care,Medical Equipment & Devices,healthcare;biotech;pharma,sanità;biotech;farmaceutica
MMM,3M CO,US,Industrials,Industrial Products,Diversified Industrials,industrials;manufacturing;transport,industria;manifattura;trasporti
LVS,LAS VEGAS SANDS CORP,US,Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,consumer;retail;autos,consumi;retail;auto
CROX,CROCS INC,US,Consumer Discretionary,Consumer Discretionary Products,Apparel & Textile Products,consumer;retail;autos,consumi;retail;auto
MPC,MARATHON PETROLEUM CORP,US,Energy,Oil & Gas,Oil & Gas Supply Chain,oil;gas;energy,petrolio;gas;energia
RUM,RUMBLE INC,US,Communications,Media,Internet Media & Services,other,altro
IPAR,INTERPARFUMS INC,US,Consumer Staples,Consumer Staple Products,Household Products,food;beverages;household,alimentari;bevande;casa
DOMO,DOMO INC - CLASS B,US,Technology,Software & Tech Services,Software,other,altro
MPAA,MOTORCAR PARTS OF AMERICA IN,US,Consumer Discretionary,Consumer Discretionary Products,Automotive,consumer;retail;autos,consumi;retail;auto
WEN,WENDY'S CO/THE,US,Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,consumer;retail;autos,consumi;retail;auto
AAON,AAON INC,US,Industrials,Industrial Products,Electrical Equipment,industrials;manufacturing;transport,industria;manifattura;trasporti
HWM,HOWMET AEROSPACE INC,US,Industrials,Industrial Products,Aerospace & Defense,industrials;manufacturing;transport,industria;manifattura;trasporti
CPAY,CORPAY INC,US,Financials,Financial Services,Specialty Finance,banks;insurance;finance,banche;assicurazioni;finanza
BHRB,BURKE & HERBERT FINANCIAL SE,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
BAC,BANK OF AMERICA CORP,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
GCMG,GCM GROSVENOR INC - CLASS A,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
AIG,AMERICAN INTERNATIONAL GROUP,US,Financials,Insurance,Insurance,banks;insurance;finance,banche;assicurazioni;finanza
WNEB,WESTERN NEW ENGLAND BANCORP,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
CVX,CHEVRON CORP,US,Energy,Oil & Gas,Oil & Gas Supply Chain,oil;gas;energy,petrolio;gas;energia
IMXI,INTERNATIONAL MONEY EXPRESS,US,Financials,Financial Services,Specialty Finance,banks;insurance;finance,banche;assicurazioni;finanza
BELFA,BEL FUSE INC-CL A,US,Industrials,Industrial Products,Electrical Equipment,industrials;manufacturing;transport,industria;manifattura;trasporti
CASY,CASEY'S GENERAL STORES INC,US,Consumer Staples,Retail & Wholesale - Staples,Retail - Consumer Staples,food;beverages;household,alimentari;bevande;casa
EXEL,EXELIXIS INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
TRON,TRON INC,US,Consumer Discretionary,Consumer Discretionary Products,Leisure Products,consumer;retail;autos,consumi;retail;auto
RCL,ROYAL CARIBBEAN CRUISES LTD,US,Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,consumer;retail;autos,consumi;retail;auto
NVTS,NAVITAS SEMICONDUCTOR CORP,US,Technology,Tech Hardware & Semiconductors,Semiconductors,other,altro
DAY,DAYFORCE INC,US,Technology,Software & Tech Services,Software,other,altro
NBTB,N B T BANCORP INC,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
WELL,WELLTOWER INC,US,Real Estate,Real Estate,REIT,real estate;property,immobiliare;proprietà
MA,MASTERCARD INC - A,US,Financials,Financial Services,Specialty Finance,banks;insurance;finance,banche;assicurazioni;finanza
ESS,ESSEX PROPERTY TRUST INC,US,Real Estate,Real Estate,REIT,real estate;property,immobiliare;proprietà
AOS,SMITH (A.O.) CORP,US,Industrials,Industrial Products,Electrical Equipment,industrials;manufacturing;transport,industria;manifattura;trasporti
ATRC,ATRICURE INC,US,Health Care,Health Care,Medical Equipment & Devices,healthcare;biotech;pharma,sanità;biotech;farmaceutica
MLM,MARTIN MARIETTA MATERIALS,US,Materials,Materials,Construction Materials,materials;chemicals;metals,materiali;chimica;metalli
CAG,CONAGRA BRANDS INC,US,Consumer Staples,Consumer Staple Products,Food,food;beverages;household,alimentari;bevande;casa
MAS,MASCO CORP,US,Consumer Discretionary,Consumer Discretionary Products,Home Construction,consumer;retail;autos,consumi;retail;auto
BSX,BOSTON SCIENTIFIC CORP,US,Health Care,Health Care,Medical Equipment & Devices,healthcare;biotech;pharma,sanità;biotech;farmaceutica
SITM,SITIME CORP,US,Technology,Tech Hardware & Semiconductors,Semiconductors,other,altro
AMRX,AMNEAL PHARMACEUTICALS INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
FANG,DIAMONDBACK ENERGY INC,US,Energy,Oil & Gas,Oil & Gas Supply Chain,oil;gas;energy,petrolio;gas;energia
GPN,GLOBAL PAYMENTS INC,US,Financials,Financial Services,Specialty Finance,banks;insurance;finance,banche;assicurazioni;finanza
PGY,PAGAYA TECHNOLOGIES LTD -A,US,Technology,Software & Tech Services,Software,other,altro
TRIN,TRINITY CAPITAL INC,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
BG,BUNGE GLOBAL SA,US,Consumer Staples,Retail & Wholesale - Staples,Wholesale - Consumer Staples,food;beverages;household,alimentari;bevande;casa
DMAA,DRUGS MADE IN AMERICA ACQUIS,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
MQ,MARQETA INC-A,US,Financials,Financial Services,Specialty Finance,banks;insurance;finance,banche;assicurazioni;finanza
INTU,INTUIT INC,US,Technology,Software & Tech Services,Software,other,altro
ZVRA,ZEVRA THERAPEUTICS INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
LNKB,LINKBANCORP INC,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
AAPL,APPLE INC,US,Technology,Tech Hardware & Semiconductors,Technology Hardware,other,altro
ATO,ATMOS ENERGY CORP,US,Utilities,Utilities,Gas & Water Utilities,utilities;electricity;water,utilities;elettricità;acqua
REFI,CHICAGO ATLANTIC REAL ESTATE,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
CTRA,COTERRA ENERGY INC,US,Energy,Oil & Gas,Oil & Gas Supply Chain,oil;gas;energy,petrolio;gas;energia
BRZE,BRAZE INC-A,US,Technology,Software & Tech Services,Software,other,altro
OMDA,OMADA HEALTH INC,US,Technology,Software & Tech Services,Software,other,altro
Z,ZILLOW GROUP INC - C,US,Communications,Media,Internet Media & Services,other,altro
MYFW,FIRST WESTERN FINANCIAL INC,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
CRL,CHARLES RIVER LABORATORIES,US,Health Care,Health Care,Health Care Facilities & Svcs,healthcare;biotech;pharma,sanità;biotech;farmaceutica
ALLO,ALLOGENE THERAPEUTICS INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
ETR,ENTERGY CORP,US,Utilities,Utilities,Electric Utilities,utilities;electricity;water,utilities;elettricità;acqua
JBL,JABIL INC,US,Technology,Tech Hardware & Semiconductors,Technology Hardware,other,altro
CSGP,COSTAR GROUP INC,US,Real Estate,Real Estate,Real Estate Services,real estate;property,immobiliare;proprietà
CCI,CROWN CASTLE INC,US,Real Estate,Real Estate,REIT,real estate;property,immobiliare;proprietà
LE,LANDS' END INC,US,Consumer Discretionary,Retail & Whsle - Discretionary,E-Commerce Discretionary,consumer;retail;autos,consumi;retail;auto
VMEO,VIMEO INC,US,Technology,Software & Tech Services,Software,other,altro
EQR,EQUITY RESIDENTIAL,US,Real Estate,Real Estate,REIT,real estate;property,immobiliare;proprietà
STX,SEAGATE TECHNOLOGY HOLDINGS,US,Technology,Tech Hardware & Semiconductors,Technology Hardware,other,altro
VSAT,VIASAT INC,US,Technology,Tech Hardware & Semiconductors,Technology Hardware,other,altro
AME,AMETEK INC,US,Industrials,Industrial Products,Electrical Equipment,industrials;manufacturing;transport,industria;manifattura;trasporti
HBCP,HOME BANCORP INC,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
VICI,VICI PROPERTIES INC,US,Real Estate,Real Estate,REIT,real estate;property,immobiliare;proprietà
GLIBK,GCI LIBERTY INC-CL C,US,Communications,Telecommunications,Telecommunications,other,altro
FOLD,AMICUS THERAPEUTICS INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
STZ,CONSTELLATION BRANDS INC-A,US,Consumer Staples,Consumer Staple Products,Beverages,food;beverages;household,alimentari;bevande;casa
COMM,COMMSCOPE HOLDING CO INC,US,Technology,Tech Hardware & Semiconductors,Technology Hardware,other,altro
MAR,MARRIOTT INTERNATIONAL -CL A,US,Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,consumer;retail;autos,consumi;retail;auto
ALRM,ALARM.COM HOLDINGS INC,US,Industrials,Industrial Services,Commercial Support Services,industrials;manufacturing;transport,industria;manifattura;trasporti
GEV,GE VERNOVA INC,US,Industrials,Industrial Products,Electrical Equipment,industrials;manufacturing;transport,industria;manifattura;trasporti
ICE,INTERCONTINENTAL EXCHANGE IN,US,Financials,Financial Services,Institutional Financial Svcs,banks;insurance;finance,banche;assicurazioni;finanza
ZM,ZOOM COMMUNICATIONS INC,US,Technology,Software & Tech Services,Software,other,altro
NEXT,NEXTDECADE CORP,US,Energy,Oil & Gas,Oil & Gas Supply Chain,oil;gas;energy,petrolio;gas;energia
TTAN,SERVICETITAN INC-A,US,Technology,Software & Tech Services,Software,other,altro
IIIV,I3 VERTICALS INC-CLASS A,US,Technology,Software & Tech Services,Software,other,altro
CASH,PATHWARD FINANCIAL INC,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
CENT,CENTRAL GARDEN & PET CO,US,Consumer Staples,Consumer Staple Products,Household Products,food;beverages;household,alimentari;bevande;casa
BTBT,BIT DIGITAL INC,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
EXPE,EXPEDIA GROUP INC,US,Communications,Media,Internet Media & Services,other,altro
DASH,DOORDASH INC - A,US,Communications,Media,Internet Media & Services,other,altro
LWAY,LIFEWAY FOODS INC,US,Consumer Staples,Consumer Staple Products,Food,food;beverages;household,alimentari;bevande;casa
SMTI,SANARA MEDTECH INC,US,Health Care,Health Care,Medical Equipment & Devices,healthcare;biotech;pharma,sanità;biotech;farmaceutica
DRS,LEONARDO DRS INC,US,Industrials,Industrial Products,Aerospace & Defense,industrials;manufacturing;transport,industria;manifattura;trasporti
ABT,ABBOTT LABORATORIES,US,Health Care,Health Care,Medical Equipment & Devices,healthcare;biotech;pharma,sanità;biotech;farmaceutica
ESQ,ESQUIRE FINANCIAL HOLDINGS I,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
CBRE,CBRE GROUP INC - A,US,Real Estate,Real Estate,Real Estate Services,real estate;property,immobiliare;proprietà
RWAY,RUNWAY GROWTH FINANCE CORP,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
ERII,ENERGY RECOVERY INC,US,Industrials,Industrial Products,Machinery,industrials;manufacturing;transport,industria;manifattura;trasporti
AIRJ,AIRJOULE TECHNOLOGIES CORP,US,Industrials,Industrial Products,Electrical Equipment,industrials;manufacturing;transport,industria;manifattura;trasporti
NAKA,KINDLY MD INC,US,Health Care,Health Care,Health Care Facilities & Svcs,healthcare;biotech;pharma,sanità;biotech;farmaceutica
RUSHB,RUSH ENTERPRISES INC - CL B,US,Industrials,Industrial Services,Industrial Support Services,industrials;manufacturing;transport,industria;manifattura;trasporti
RF,REGIONS FINANCIAL CORP,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
OTIS,OTIS WORLDWIDE CORP,US,Industrials,Industrial Products,Electrical Equipment,industrials;manufacturing;transport,industria;manifattura;trasporti
NATH,NATHAN'S FAMOUS INC,US,Consumer Staples,Consumer Staple Products,Food,food;beverages;household,alimentari;bevande;casa
CENTA,CENTRAL GARDEN AND PET CO-A,US,Consumer Staples,Consumer Staple Products,Household Products,food;beverages;household,alimentari;bevande;casa
NOC,NORTHROP GRUMMAN CORP,US,Industrials,Industrial Products,Aerospace & Defense,industrials;manufacturing;transport,industria;manifattura;trasporti
ATEX,ANTERIX INC,US,Technology,Tech Hardware & Semiconductors,Technology Hardware,other,altro
DXPE,DXP ENTERPRISES INC,US,Industrials,Industrial Services,Industrial Support Services,industrials;manufacturing;transport,industria;manifattura;trasporti
INVA,INNOVIVA INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
CHAC,CRANE HARBOR ACQU CORP - A,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
RTX,RTX CORP,US,Industrials,Industrial Products,Aerospace & Defense,industrials;manufacturing;transport,industria;manifattura;trasporti
TOI,ONCOLOGY INSTITUTE INC/THE,US,Health Care,Health Care,Health Care Facilities & Svcs,healthcare;biotech;pharma,sanità;biotech;farmaceutica
ELV,ELEVANCE HEALTH INC,US,Health Care,Health Care,Health Care Facilities & Svcs,healthcare;biotech;pharma,sanità;biotech;farmaceutica
D,DOMINION ENERGY INC,US,Utilities,Utilities,Electric Utilities,utilities;electricity;water,utilities;elettricità;acqua
TGT,TARGET CORP,US,Consumer Staples,Retail & Wholesale - Staples,Retail - Consumer Staples,food;beverages;household,alimentari;bevande;casa
HIG,HARTFORD INSURANCE GROUP INC,US,Financials,Insurance,Insurance,banks;insurance;finance,banche;assicurazioni;finanza
DHI,DR HORTON INC,US,Consumer Discretionary,Consumer Discretionary Products,Home Construction,consumer;retail;autos,consumi;retail;auto
RBBN,RIBBON COMMUNICATIONS INC,US,Technology,Tech Hardware & Semiconductors,Technology Hardware,other,altro
XYZ,BLOCK INC,US,Financials,Financial Services,Specialty Finance,banks;insurance;finance,banche;assicurazioni;finanza
FBIZ,FIRST BUSINESS FINANCIAL SER,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
ALB,ALBEMARLE CORP,US,Materials,Materials,Chemicals,materials;chemicals;metals,materiali;chimica;metalli
CCCX,CHURCHILL CAPITAL CORP X-A,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
MMSI,MERIT MEDICAL SYSTEMS INC,US,Health Care,Health Care,Medical Equipment & Devices,healthcare;biotech;pharma,sanità;biotech;farmaceutica
GCBC,GREENE COUNTY BANCORP INC,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
GS,GOLDMAN SACHS GROUP INC,US,Financials,Financial Services,Institutional Financial Svcs,banks;insurance;finance,banche;assicurazioni;finanza
TJX,TJX COMPANIES INC,US,Consumer Discretionary,Retail & Whsle - Discretionary,Retail - Discretionary,consumer;retail;autos,consumi;retail;auto
ABEO,ABEONA THERAPEUTICS INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
NTRA,NATERA INC,US,Health Care,Health Care,Medical Equipment & Devices,healthcare;biotech;pharma,sanità;biotech;farmaceutica
BLMN,BLOOMIN' BRANDS INC,US,Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,consumer;retail;autos,consumi;retail;auto
DNUT,KRISPY KREME INC,US,Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,consumer;retail;autos,consumi;retail;auto
VCIC,VINE HILL CAPITAL-CLASS A,US,Financials,Financial Services,Asset Management,banks;insurance;finance,banche;assicurazioni;finanza
RELY,REMITLY GLOBAL INC,US,Financials,Financial Services,Specialty Finance,banks;insurance;finance,banche;assicurazioni;finanza
VLO,VALERO ENERGY CORP,US,Energy,Oil & Gas,Oil & Gas Supply Chain,oil;gas;energy,petrolio;gas;energia
IFF,INTL FLAVORS & FRAGRANCES,US,Materials,Materials,Chemicals,materials;chemicals;metals,materiali;chimica;metalli
TNXP,TONIX PHARMACEUTICALS HOLDIN,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
DSGN,DESIGN THERAPEUTICS INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
PROK,PROKIDNEY CORP,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
MZTI,MARZETTI COMPANY/THE,US,Consumer Staples,Consumer Staple Products,Food,food;beverages;household,alimentari;bevande;casa
PM,PHILIP MORRIS INTERNATIONAL,US,Consumer Staples,Consumer Staple Products,Tobacco & Cannabis,food;beverages;household,alimentari;bevande;casa
ARTNA,ARTESIAN RESOURCES CORP-CL A,US,Utilities,Utilities,Gas & Water Utilities,utilities;electricity;water,utilities;elettricità;acqua
GIS,GENERAL MILLS INC,US,Consumer Staples,Consumer Staple Products,Food,food;beverages;household,alimentari;bevande;casa
TMDX,TRANSMEDICS GROUP INC,US,Health Care,Health Care,Medical Equipment & Devices,healthcare;biotech;pharma,sanità;biotech;farmaceutica
JCAP,JEFFERSON CAPITAL INC,US,Financials,Financial Services,Specialty Finance,banks;insurance;finance,banche;assicurazioni;finanza
SKIN,BEAUTY HEALTH CO/THE,US,Consumer Staples,Consumer Staple Products,Household Products,food;beverages;household,alimentari;bevande;casa
TBRG,TRUBRIDGE INC,US,Technology,Software & Tech Services,Software,other,altro
PAA,PLAINS ALL AMER PIPELINE LP,US,Energy,Oil & Gas,Oil & Gas Supply Chain,oil;gas;energy,petrolio;gas;energia
HAS,HASBRO INC,US,Consumer Discretionary,Consumer Discretionary Products,Leisure Products,consumer;retail;autos,consumi;retail;auto
APGE,APOGEE THERAPEUTICS INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
COF,CAPITAL ONE FINANCIAL CORP,US,Financials,Financial Services,Specialty Finance,banks;insurance;finance,banche;assicurazioni;finanza
MTSI,MACOM TECHNOLOGY SOLUTIONS H,US,Technology,Tech Hardware & Semiconductors,Semiconductors,other,altro
MBIN,MERCHANTS BANCORP/IN,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
EWTX,EDGEWISE THERAPEUTICS INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
FFBC,FIRST FINANCIAL BANCORP,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
CPB,THE CAMPBELL'S COMPANY,US,Consumer Staples,Consumer Staple Products,Food,food;beverages;household,alimentari;bevande;casa
AENT,ALLIANCE ENTERTAINMENT HOLDI,US,Consumer Discretionary,Retail & Whsle - Discretionary,Wholesale - Discretionary,consumer;retail;autos,consumi;retail;auto
SFD,SMITHFIELD FOODS INC,US,Consumer Staples,Consumer Staple Products,Food,food;beverages;household,alimentari;bevande;casa
GWW,WW GRAINGER INC,US,Industrials,Industrial Services,Industrial Support Services,industrials;manufacturing;transport,industria;manifattura;trasporti
CARR,CARRIER GLOBAL CORP,US,Industrials,Industrial Products,Electrical Equipment,industrials;manufacturing;transport,industria;manifattura;trasporti
TSHA,TAYSHA GENE THERAPIES INC,US,Health Care,Health Care,Biotech & Pharma,healthcare;biotech;pharma,sanità;biotech;farmaceutica
WTFC,WINTRUST FINANCIAL CORP,US,Financials,Banking,Banking,banks;insurance;finance,banche;assicurazioni;finanza
