Ticker,Name,Market Cap,GICS Sector,BICS L1 Sect Nm,BICS L2 IG Nm,BICS L3 Ind Nm,BICS L4 Sub Ind Nm,BICS L5 Seg Nm,Cntry Terrtry Of Dom,Security
ZS US Equity,ZSCALER INC,"43132371824,10","45,00",Technology,Software & Tech Services,Software,Infrastructure Software,Security Software,US,Zscaler Inc
NFLX US Equity,NETFLIX INC,"529071529617,29","50,00",Communications,Media,Entertainment Content,Film & TV,Film & TV Production & Distr,US,Netflix Inc
BBNX US Equity,BETA BIONICS INC,"750294367,45","35,00",Health Care,Health Care,Medical Equipment & Devices,Medical Devices,#N/A N/A,US,Beta Bionics Inc
SCHW US Equity,SCHWAB (CHARLES) CORP,"179464083312,20","40,00",Financials,Financial Services,Asset Management,Wealth Management,Retail Securities Brokerage,US,Charles Schwab Corp/The
CRWD US Equity,CROWDSTRIKE HOLDINGS INC - A,"106264465590,39","45,00",Technology,Software & Tech Services,Software,Infrastructure Software,#N/A N/A,US,Crowdstrike Holdings Inc
CYRX US Equity,CRYOPORT INC,"440088646,81","35,00",Industrials,Industrial Services,Transportation & Logistics,Logistics Services,#N/A N/A,US,CryoPort Inc
PAYS US Equity,PAYSIGN INC,"293495669,05","40,00",Financials,Financial Services,Specialty Finance,Consumer Finance,#N/A N/A,US,Paysign Inc
NBIX US Equity,NEUROCRINE BIOSCIENCES INC,"13205026180,86","35,00",Health Care,Health Care,Biotech & Pharma,Specialty & Generic Pharma,Specialty Pharma,US,Neurocrine Biosciences Inc
ENTG US Equity,ENTEGRIS INC,"11886956555,18","45,00",Technology,Tech Hardware & Semiconductors,Semiconductors,Semiconductor Mfg,#N/A N/A,US,Entegris Inc
ASTE US Equity,ASTEC INDUSTRIES INC,"1036453277,44","20,00",Industrials,Industrial Products,Machinery,Construction & Mining Machinery,Construction Machinery,US,Astec Industries Inc
YUM US Equity,YUM! BRANDS INC,"41447179824,27","25,00",Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,Restaurants,Limited Service Restaurants,US,Yum! Brands Inc
ONEW US Equity,ONEWATER MARINE INC-CL A,"278301733,19","25,00",Consumer Discretionary,Retail & Whsle - Discretionary,Retail - Discretionary,Other Spec Retail - Discr,#N/A N/A,US,OneWater Marine Inc
LUV US Equity,SOUTHWEST AIRLINES CO,"16443626888,31","20,00",Industrials,Industrial Services,Transportation & Logistics,Airlines,Low Cost Airline,US,Southwest Airlines Co
PSIX US Equity,POWER SOLUTIONS INTERNATIONA,"2006129899,12","20,00",Industrials,Industrial Products,Machinery,Engine & Transmission,#N/A N/A,US,Power Solutions International
MNKD US Equity,MANNKIND CORP,"1169015938,79","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,MannKind Corp
KRUS US Equity,KURA SUSHI USA INC-CLASS A,"923130386,01","25,00",Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,Restaurants,Limited Service Restaurants,US,Kura Sushi USA Inc
NTGR US Equity,NETGEAR INC,"714770826,77","45,00",Technology,Tech Hardware & Semiconductors,Technology Hardware,Communications Equipment,Data Networking Equipment,US,NETGEAR Inc
DOV US Equity,DOVER CORP,"24293367511,95","20,00",Industrials,Industrial Products,Diversified Industrials,Diversified Industrials,#N/A N/A,US,Dover Corp
ALNY US Equity,ALNYLAM PHARMACEUTICALS INC,"59886068943,02","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Alnylam Pharmaceuticals Inc
VOR US Equity,VOR BIOPHARMA INC,"258433541,61","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Vor BioPharma Inc
SYM US Equity,SYMBOTIC INC,"30174206984,48","20,00",Industrials,Industrial Products,Machinery,Factory Automation Equipment,Industrial Robot,US,Symbotic Inc
HWBK US Equity,HAWTHORN BANCSHARES INC,"208629286,96","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Hawthorn Bancshares Inc
LAND US Equity,GLADSTONE LAND CORP,"319872376,72","60,00",Real Estate,Real Estate,REIT,Specialty REIT,#N/A N/A,US,Gladstone Land Corp
ACMR US Equity,ACM RESEARCH INC-CLASS A,"1614793069,61","45,00",Technology,Tech Hardware & Semiconductors,Semiconductors,Semiconductor Mfg,#N/A N/A,US,ACM Research Inc
DIOD US Equity,DIODES INC,"2449854271,25","45,00",Technology,Tech Hardware & Semiconductors,Semiconductors,Semiconductor Devices,Discrete,US,Diodes Inc
LH US Equity,LABCORP HOLDINGS INC,"22477718188,48","35,00",Health Care,Health Care,Health Care Facilities & Svcs,Health Care Services,Health Care Testing Services,US,Labcorp Holdings Inc
UPBD US Equity,UPBOUND GROUP INC,"1389494616,00","25,00",Consumer Discretionary,Consumer Discretionary Services,Consumer Services,Consumer Goods Rental,#N/A N/A,US,Upbound Group Inc
NRG US Equity,NRG ENERGY INC,"29099730325,12","55,00",Utilities,Utilities,Electric Utilities,Power Generation,Fossil Electric Generation,US,NRG Energy Inc
DE US Equity,DEERE & CO,"133011292844,55","20,00",Industrials,Industrial Products,Machinery,Agricultural Machinery,Farm Machinery & Equipment,US,Deere & Co
PDYN US Equity,PALLADYNE AI CORP,"311260648,28","20,00",Industrials,Industrial Products,Machinery,Factory Automation Equipment,Industrial Robot,US,Palladyne AI Corp
STRA US Equity,STRATEGIC EDUCATION INC,"1887893176,86","25,00",Consumer Discretionary,Consumer Discretionary Services,Consumer Services,Educational Services,"College, University & Pro Schools",US,Strategic Education Inc
ASMB US Equity,ASSEMBLY BIOSCIENCES INC,"400825835,40","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Assembly Biosciences Inc
AFL US Equity,AFLAC INC,"56563778382,40","40,00",Financials,Insurance,Insurance,Life Insurance,#N/A N/A,US,Aflac Inc
HPK US Equity,HIGHPEAK ENERGY INC,"976263880,25","10,00",Energy,Oil & Gas,Oil & Gas Supply Chain,Exploration & Production,#N/A N/A,US,HighPeak Energy Inc
MOFG US Equity,MIDWESTONE FINANCIAL GROUP I,"593648676,47","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,MidWestOne Financial Group Inc
LQDA US Equity,LIQUIDIA CORP,"2386455045,77","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Liquidia Corp
SLP US Equity,SIMULATIONS PLUS INC,"290836735,66","35,00",Technology,Software & Tech Services,Software,Application Software,Specialty Software,US,Simulations Plus Inc
CERS US Equity,CERUS CORP,"239623492,50","35,00",Health Care,Health Care,Medical Equipment & Devices,Medical Equipment,Surgical & Medical Instruments,US,Cerus Corp
BHF US Equity,BRIGHTHOUSE FINANCIAL INC,"2605576602,61","40,00",Financials,Insurance,Insurance,Life Insurance,#N/A N/A,US,Brighthouse Financial Inc
BALL US Equity,BALL CORP,"14383141407,08","15,00",Materials,Materials,Containers & Packaging,Containers & Packaging,Metal Containers & Packaging,US,Ball Corp
CCRN US Equity,CROSS COUNTRY HEALTHCARE INC,"444252665,95","35,00",Industrials,Industrial Services,Commercial Support Services,Professional Services,Mgmt & Admin Consulting Svcs,US,Cross Country Healthcare Inc
INVH US Equity,INVITATION HOMES INC,"18359596656,69","60,00",Real Estate,Real Estate,REIT,Residential REIT,Single Family Housing REIT,US,Invitation Homes Inc
SNEX US Equity,STONEX GROUP INC,"4902947258,92","40,00",Financials,Financial Services,Institutional Financial Svcs,Institutional Brokerage,#N/A N/A,US,StoneX Group Inc
UPWK US Equity,UPWORK INC,"1855166009,86","20,00",Communications,Media,Internet Media & Services,Internet Media & Services,Recruitment Services Web,US,Upwork Inc
LIEN US Equity,CHICAGO ATLANTIC BDC INC,"250341878,39","40,00",Financials,Financial Services,Asset Management,Investment Companies,BDCs,US,Chicago Atlantic BDC Inc
PG US Equity,PROCTER & GAMBLE CO/THE,"364754090970,70","30,00",Consumer Staples,Consumer Staple Products,Household Products,Personal Care Products,#N/A N/A,US,Procter & Gamble Co/The
AVAV US Equity,AEROVIRONMENT INC,"12339752985,10","20,00",Industrials,Industrial Products,Aerospace & Defense,Defense,#N/A N/A,US,AeroVironment Inc
PHM US Equity,PULTEGROUP INC,"25295523287,17","25,00",Consumer Discretionary,Consumer Discretionary Products,Home Construction,Homebuilding,Single Family Homebuilding,US,PulteGroup Inc
METC US Equity,RAMACO RESOURCES INC-A,"1419800254,24","15,00",Materials,Materials,Metals & Mining,Coal Mining,Thermal Coal,US,Ramaco Resources Inc
MLYS US Equity,MINERALYS THERAPEUTICS INC,"1016968132,68","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Mineralys Therapeutics Inc
K US Equity,KELLANOVA,"27820488216,90","30,00",Consumer Staples,Consumer Staple Products,Food,Packaged Food,Snack Food & Confectionery,US,Kellanova
EMN US Equity,EASTMAN CHEMICAL CO,"7551379658,43","15,00",Materials,Materials,Chemicals,Basic & Diversified Chemicals,#N/A N/A,US,Eastman Chemical Co
PLBC US Equity,PLUMAS BANCORP,"286290973,68","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Plumas Bancorp
SVCC US Equity,STELLAR V CAPITAL CORP-CL A,"221985279,75",,Financials,Financial Services,Asset Management,Investment Companies,Blank Check,US,Stellar V Capital Corp
CRGX US Equity,CARGO THERAPEUTICS INC,"216188460,02","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Cargo Therapeutics Inc
ALAB US Equity,ASTERA LABS INC,"30988233052,77","45,00",Technology,Tech Hardware & Semiconductors,Semiconductors,Semiconductor Mfg,#N/A N/A,US,Astera Labs Inc
AVY US Equity,AVERY DENNISON CORP,"13432329566,50","15,00",Materials,Materials,Chemicals,Specialty Chemicals,Adhesives & Sealants,US,Avery Dennison Corp
DUK US Equity,DUKE ENERGY CORP,"94377052905,80","55,00",Utilities,Utilities,Electric Utilities,Integrated Electric Utilities,#N/A N/A,US,Duke Energy Corp
EZPW US Equity,EZCORP INC-CL A,"972511308,18","40,00",Financials,Financial Services,Specialty Finance,Consumer Finance,Consumer Microlending,US,EZCORP Inc
IOSP US Equity,INNOSPEC INC,"2068602387,08","15,00",Materials,Materials,Chemicals,Basic & Diversified Chemicals,#N/A N/A,US,Innospec Inc
PCT US Equity,PURECYCLE TECHNOLOGIES INC,"2285381287,29","15,00",Industrials,Industrial Services,Commercial Support Services,Waste Management,Recyclable Materials,US,PureCycle Technologies Inc
EGHA US Equity,EGH ACQUISITION CO-A,"205410009,38",,Financials,Financial Services,Asset Management,Investment Companies,Blank Check,US,EGH Acquisition Corp
TACO US Equity,BERTO ACQUISITION CORP,"389819825,38",,Financials,Financial Services,Asset Management,Investment Companies,Blank Check,US,BERTO ACQUISITION CORP
CPT US Equity,CAMDEN PROPERTY TRUST,"11301812576,09","60,00",Real Estate,Real Estate,REIT,Residential REIT,Apartment REIT,US,Camden Property Trust
LAMR US Equity,LAMAR ADVERTISING CO-A,"12285924192,81","60,00",Real Estate,Real Estate,REIT,Specialty REIT,#N/A N/A,US,Lamar Advertising Co
TDAC US Equity,TRANSLATIONAL DEVELOPMENT AC,"226041585,00",,Financials,Financial Services,Asset Management,Investment Companies,Blank Check,US,Translational Development Acqu
RPRX US Equity,ROYALTY PHARMA PLC- CL A,"20947619716,34","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Royalty Pharma PLC
DYNX US Equity,DYNAMIX CORP,"241474659,65",,Financials,Financial Services,Asset Management,Investment Companies,Blank Check,US,Dynamix Corp
AIZ US Equity,ASSURANT INC,"10553039357,74","40,00",Financials,Insurance,Insurance,P&C Insurance,#N/A N/A,US,Assurant Inc
PZZA US Equity,PAPA JOHN'S INTL INC,"1502606799,54","25,00",Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,Restaurants,Limited Service Restaurants,US,Papa John's International Inc
AXP US Equity,AMERICAN EXPRESS CO,"213670629305,69","40,00",Financials,Financial Services,Specialty Finance,Consumer Finance,Credit Card Lending,US,American Express Co
VABK US Equity,VIRGINIA NATIONAL BANKSHARES,"206027512,65","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Virginia National Bankshares C
TOWN US Equity,TOWNE BANK,"2687846996,25","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Towne Bank/Portsmouth VA
ESPR US Equity,ESPERION THERAPEUTICS INC,"423407913,27","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Esperion Therapeutics Inc
DHC US Equity,DIVERSIFIED HEALTHCARE TRUST,"820808836,82","60,00",Real Estate,Real Estate,REIT,Health Care REIT,#N/A N/A,US,Diversified Healthcare Trust
NFBK US Equity,NORTHFIELD BANCORP INC,"460333889,82","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Northfield Bancorp Inc
MCK US Equity,MCKESSON CORP,"83485561041,34","35,00",Health Care,Health Care,Health Care Facilities & Svcs,Health Care Supply Chain,Health Care Distribution,US,McKesson Corp
PNTG US Equity,PENNANT GROUP INC/THE,"867851489,55","35,00",Health Care,Health Care,Health Care Facilities & Svcs,Health Care Facilities,Nursing & Residential Care,US,Pennant Group Inc/The
VTYX US Equity,VENTYX BIOSCIENCES INC,"201803100,50","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Ventyx Biosciences Inc
OZK US Equity,BANK OZK,"5622963794,50","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Bank OZK
COCO US Equity,VITA COCO CO INC/THE,"1922321551,28","30,00",Consumer Staples,Consumer Staple Products,Beverages,Non-Alcoholic Beverages,#N/A N/A,US,Vita Coco Co Inc/The
NEOG US Equity,NEOGEN CORP,"1203316722,15","35,00",Health Care,Health Care,Medical Equipment & Devices,Life Science & Diagnostics,In Vitro Diagnostics,US,Neogen Corp
MMM US Equity,3M CO,"81417776572,81","20,00",Industrials,Industrial Products,Diversified Industrials,Diversified Industrials,#N/A N/A,US,3M Co
LVS US Equity,LAS VEGAS SANDS CORP,"36244749873,08","25,00",Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,Casinos & Gaming,Casinos,US,Las Vegas Sands Corp
CROX US Equity,CROCS INC,"4526686481,03","25,00",Consumer Discretionary,Consumer Discretionary Products,Apparel & Textile Products,"Apparel, Footwear & Acc Design",Footwear Design,US,Crocs Inc
MPC US Equity,MARATHON PETROLEUM CORP,"49454983665,03","10,00",Energy,Oil & Gas,Oil & Gas Supply Chain,Refining & Marketing,Petroleum Refining,US,Marathon Petroleum Corp
RUM US Equity,RUMBLE INC,"2673745055,09","50,00",Communications,Media,Internet Media & Services,Internet Media & Services,"News, Sports & Entmt Web",US,Rumble Inc
IPAR US Equity,INTERPARFUMS INC,"3629931044,18","30,00",Consumer Staples,Consumer Staple Products,Household Products,Personal Care Products,Cosmetics,US,Interparfums Inc
DOMO US Equity,DOMO INC - CLASS B,"596283695,48","45,00",Technology,Software & Tech Services,Software,Application Software,Enterprise Software,US,Domo Inc
MPAA US Equity,MOTORCAR PARTS OF AMERICA IN,"266285382,03","25,00",Consumer Discretionary,Consumer Discretionary Products,Automotive,Auto Parts,Drivetrain Components,US,Motorcar Parts of America Inc
WEN US Equity,WENDY'S CO/THE,"2035235336,84","25,00",Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,Restaurants,Limited Service Restaurants,US,Wendy's Co/The
AAON US Equity,AAON INC,"6670839885,44","20,00",Industrials,Industrial Products,Electrical Equipment,Comml & Res Bldg Equip & Sys,HVAC Building Products,US,AAON Inc
HWM US Equity,HOWMET AEROSPACE INC,"69761011252,34","20,00",Industrials,Industrial Products,Aerospace & Defense,Aircraft & Parts,Aircraft Parts,US,Howmet Aerospace Inc
CPAY US Equity,CORPAY INC,"22349452219,50","40,00",Financials,Financial Services,Specialty Finance,Other Financial Services,Financial Transaction Processors,US,Corpay Inc
BHRB US Equity,BURKE & HERBERT FINANCIAL SE,"902248788,05","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Burke & Herbert Financial Serv
BAC US Equity,BANK OF AMERICA CORP,"354940901628,51","40,00",Financials,Banking,Banking,Diversified Banks,#N/A N/A,US,Bank of America Corp
GCMG US Equity,GCM GROSVENOR INC - CLASS A,"2515941307,66","40,00",Financials,Financial Services,Asset Management,Investment Management,#N/A N/A,US,GCM Grosvenor Inc
AIG US Equity,AMERICAN INTERNATIONAL GROUP,"44530827941,38","40,00",Financials,Insurance,Insurance,P&C Insurance,#N/A N/A,US,American International Group I
WNEB US Equity,WESTERN NEW ENGLAND BANCORP,"240575676,15","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Western New England Bancorp In
CVX US Equity,CHEVRON CORP,"318001221324,60","10,00",Energy,Oil & Gas,Oil & Gas Supply Chain,Integrated Oils,#N/A N/A,US,Chevron Corp
IMXI US Equity,INTERNATIONAL MONEY EXPRESS,"428637727,30","40,00",Financials,Financial Services,Specialty Finance,Consumer Finance,#N/A N/A,US,International Money Express In
BELFA US Equity,BEL FUSE INC-CL A,"1624764469,19","45,00",Industrials,Industrial Products,Electrical Equipment,Electrical Components,Wire & Cable,US,Bel Fuse Inc
CASY US Equity,CASEY'S GENERAL STORES INC,"18821015060,87","30,00",Consumer Staples,Retail & Wholesale - Staples,Retail - Consumer Staples,Food & Drug Stores,Convenience Stores,US,Casey's General Stores Inc
EXEL US Equity,EXELIXIS INC,"10165086741,11","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Exelixis Inc
TRON US Equity,TRON INC,"226578433,83","25,00",Consumer Discretionary,Consumer Discretionary Products,Leisure Products,Toys & Games,#N/A N/A,US,Tron Inc
RCL US Equity,ROYAL CARIBBEAN CRUISES LTD,"88767915972,23","25,00",Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,Cruise Lines,#N/A N/A,US,Royal Caribbean Cruises Ltd
NVTS US Equity,NAVITAS SEMICONDUCTOR CORP,"1442736261,23","45,00",Technology,Tech Hardware & Semiconductors,Semiconductors,Semiconductor Devices,Analog ICs,US,Navitas Semiconductor Corp
DAY US Equity,DAYFORCE INC,"10638716787,21","20,00",Technology,Software & Tech Services,Software,Application Software,#N/A N/A,US,Dayforce Inc
NBTB US Equity,N B T BANCORP INC,"2217841713,99","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,NBT Bancorp Inc
WELL US Equity,WELLTOWER INC,"108624023689,53","60,00",Real Estate,Real Estate,REIT,Health Care REIT,#N/A N/A,US,Welltower Inc
MA US Equity,MASTERCARD INC - A,"528069487707,54","40,00",Financials,Financial Services,Specialty Finance,Other Financial Services,Financial Transaction Processors,US,Mastercard Inc
ESS US Equity,ESSEX PROPERTY TRUST INC,"16517054931,79","60,00",Real Estate,Real Estate,REIT,Residential REIT,Apartment REIT,US,Essex Property Trust Inc
AOS US Equity,SMITH (A.O.) CORP,"10110349410,82","20,00",Industrials,Industrial Products,Electrical Equipment,Comml & Res Bldg Equip & Sys,HVAC Building Products,US,A O Smith Corp
ATRC US Equity,ATRICURE INC,"1770364349,21","35,00",Health Care,Health Care,Medical Equipment & Devices,Medical Devices,#N/A N/A,US,AtriCure Inc
MLM US Equity,MARTIN MARIETTA MATERIALS,"36354268819,11","15,00",Materials,Materials,Construction Materials,Cement & Aggregates,#N/A N/A,US,Martin Marietta Materials Inc
CAG US Equity,CONAGRA BRANDS INC,"9092362896,91","30,00",Consumer Staples,Consumer Staple Products,Food,Packaged Food,"Frozen, Canned & Perish Food",US,Conagra Brands Inc
MAS US Equity,MASCO CORP,"15294014248,73","20,00",Consumer Discretionary,Consumer Discretionary Products,Home Construction,Building Products,Plumbing Fixtures,US,Masco Corp
BSX US Equity,BOSTON SCIENTIFIC CORP,"152694510405,65","35,00",Health Care,Health Care,Medical Equipment & Devices,Medical Devices,Cardiovascular Devices,US,Boston Scientific Corp
SITM US Equity,SITIME CORP,"5895360666,71","45,00",Technology,Tech Hardware & Semiconductors,Semiconductors,Semiconductor Devices,#N/A N/A,US,SiTime Corp
AMRX US Equity,AMNEAL PHARMACEUTICALS INC,"2908374473,23","35,00",Health Care,Health Care,Biotech & Pharma,Specialty & Generic Pharma,Generic Pharma,US,Amneal Pharmaceuticals Inc
FANG US Equity,DIAMONDBACK ENERGY INC,"40389104699,22","10,00",Energy,Oil & Gas,Oil & Gas Supply Chain,Exploration & Production,Crude Oil & Natural Gas E&P,US,Diamondback Energy Inc
GPN US Equity,GLOBAL PAYMENTS INC,"20953976411,56","40,00",Financials,Financial Services,Specialty Finance,Other Financial Services,Financial Transaction Processors,US,Global Payments Inc
PGY US Equity,PAGAYA TECHNOLOGIES LTD -A,"2602388324,74","45,00",Technology,Software & Tech Services,Software,Application Software,Enterprise Software,US,Pagaya Technologies Ltd
TRIN US Equity,TRINITY CAPITAL INC,"1119401432,56","40,00",Financials,Financial Services,Asset Management,Investment Companies,BDCs,US,Trinity Capital Inc
BG US Equity,BUNGE GLOBAL SA,"16118996790,26","30,00",Consumer Staples,Retail & Wholesale - Staples,Wholesale - Consumer Staples,Agricultural Products Whslrs,#N/A N/A,US,Bunge Global SA
DMAA US Equity,DRUGS MADE IN AMERICA ACQUIS,"344556221,09",,Financials,Financial Services,Asset Management,Investment Companies,Blank Check,US,Drugs Made In America Acquisit
MQ US Equity,MARQETA INC-A,"2765596114,04","40,00",Financials,Financial Services,Specialty Finance,Other Financial Services,Financial Transaction Processors,US,Marqeta Inc
INTU US Equity,INTUIT INC,"200063583999,21","45,00",Technology,Software & Tech Services,Software,Application Software,Enterprise Software,US,Intuit Inc
ZVRA US Equity,ZEVRA THERAPEUTICS INC,"516442826,49","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Zevra Therapeutics Inc
LNKB US Equity,LINKBANCORP INC,"267762663,02","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,LINKBANCORP Inc
AAPL US Equity,APPLE INC,"3426497638042,14","45,00",Technology,Tech Hardware & Semiconductors,Technology Hardware,Communications Equipment,Mobile Phones,US,Apple Inc
ATO US Equity,ATMOS ENERGY CORP,"26329076801,25","55,00",Utilities,Utilities,Gas & Water Utilities,Gas Utilities,Gas Distribution,US,Atmos Energy Corp
REFI US Equity,CHICAGO ATLANTIC REAL ESTATE,"294623247,85","40,00",Financials,Financial Services,Asset Management,Private Equity,Real Estate Investments,US,Chicago Atlantic Real Estate F
CTRA US Equity,COTERRA ENERGY INC,"17735372774,61","10,00",Energy,Oil & Gas,Oil & Gas Supply Chain,Exploration & Production,Crude Oil & Natural Gas E&P,US,Coterra Energy Inc
BRZE US Equity,BRAZE INC-A,"2803995067,92","45,00",Technology,Software & Tech Services,Software,Application Software,Enterprise Software,US,Braze Inc
OMDA US Equity,OMADA HEALTH INC,"1203891589,32","35,00",Technology,Software & Tech Services,Software,Application Software,Specialty Software,US,Omada Health Inc
Z US Equity,ZILLOW GROUP INC - C,"20275162766,20","60,00",Communications,Media,Internet Media & Services,Internet Media & Services,Real Estate & Property Web,US,Zillow Group Inc
MYFW US Equity,FIRST WESTERN FINANCIAL INC,"209032504,44","40,00",Financials,Financial Services,Asset Management,Wealth Management,#N/A N/A,US,First Western Financial Inc
CRL US Equity,CHARLES RIVER LABORATORIES,"7725641452,17","35,00",Health Care,Health Care,Health Care Facilities & Svcs,Health Care Services,Contract Research,US,Charles River Laboratories Int
ALLO US Equity,ALLOGENE THERAPEUTICS INC,"241850329,02","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Allogene Therapeutics Inc
ETR US Equity,ENTERGY CORP,"39217036030,48","55,00",Utilities,Utilities,Electric Utilities,Integrated Electric Utilities,#N/A N/A,US,Entergy Corp
JBL US Equity,JABIL INC,"23144380780,43","45,00",Technology,Tech Hardware & Semiconductors,Technology Hardware,EMS/ODM,#N/A N/A,US,Jabil Inc
CSGP US Equity,COSTAR GROUP INC,"37349017465,37","60,00",Real Estate,Real Estate,Real Estate Services,Real Estate Services,#N/A N/A,US,CoStar Group Inc
CCI US Equity,CROWN CASTLE INC,"43786515962,50","60,00",Real Estate,Real Estate,REIT,Infrastructure REIT,#N/A N/A,US,Crown Castle Inc
LE US Equity,LANDS' END INC,"390050706,61","25,00",Consumer Discretionary,Retail & Whsle - Discretionary,E-Commerce Discretionary,Specialty Online Retailers,Apparel & Footwear - Online,US,Lands' End Inc
VMEO US Equity,VIMEO INC,"682726450,00","50,00",Technology,Software & Tech Services,Software,Application Software,Content & Collaboration Software,US,Vimeo Inc
EQR US Equity,EQUITY RESIDENTIAL,"24151233765,68","60,00",Real Estate,Real Estate,REIT,Residential REIT,Apartment REIT,US,Equity Residential
STX US Equity,SEAGATE TECHNOLOGY HOLDINGS,"33751867499,56","45,00",Technology,Tech Hardware & Semiconductors,Technology Hardware,Computer Hardware & Storage,Computer Storage,US,Seagate Technology Holdings PL
VSAT US Equity,VIASAT INC,"3677459543,89","45,00",Technology,Tech Hardware & Semiconductors,Technology Hardware,Communications Equipment,Telecommunications Equipment,US,Viasat Inc
AME US Equity,AMETEK INC,"42176811047,50","20,00",Industrials,Industrial Products,Electrical Equipment,Measurement Instruments,Measuring & Control Devices,US,AMETEK Inc
HBCP US Equity,HOME BANCORP INC,"413694577,01","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Home Bancorp Inc
VICI US Equity,VICI PROPERTIES INC,"34337107665,18","60,00",Real Estate,Real Estate,REIT,Gaming REIT,#N/A N/A,US,VICI Properties Inc
GLIBK US Equity,GCI LIBERTY INC-CL C,"1034190875,36","50,00",Communications,Telecommunications,Telecommunications,Wireline Telecommunications,#N/A N/A,US,GCI Liberty Inc
FOLD US Equity,AMICUS THERAPEUTICS INC,"2284053714,31","35,00",Health Care,Health Care,Biotech & Pharma,Biotech,#N/A N/A,US,Amicus Therapeutics Inc
STZ US Equity,CONSTELLATION BRANDS INC-A,"29308778747,50","30,00",Consumer Staples,Consumer Staple Products,Beverages,Alcoholic Beverages,Brewers,US,Constellation Brands Inc
COMM US Equity,COMMSCOPE HOLDING CO INC,"3475738249,87","45,00",Technology,Tech Hardware & Semiconductors,Technology Hardware,Communications Equipment,Telecommunications Equipment,US,CommScope Holding Co Inc
MAR US Equity,MARRIOTT INTERNATIONAL -CL A,"72278366863,10","25,00",Consumer Discretionary,Consumer Discretionary Services,Leisure Facilities & Services,Lodging,Hotel & Motel (excl Casino Hotel),US,Marriott International Inc/MD
ALRM US Equity,ALARM.COM HOLDINGS INC,"2828617228,99","45,00",Industrials,Industrial Services,Commercial Support Services,Security Services,Security System Services,US,Alarm.com Holdings Inc
GEV US Equity,GE VERNOVA INC,"170145412295,67","20,00",Industrials,Industrial Products,Electrical Equipment,Electrical Power Equipment,#N/A N/A,US,GE Vernova Inc
ICE US Equity,INTERCONTINENTAL EXCHANGE IN,"101856965676,24","40,00",Financials,Financial Services,Institutional Financial Svcs,Security & Cmdty Exchanges,#N/A N/A,US,Intercontinental Exchange Inc
ZM US Equity,ZOOM COMMUNICATIONS INC,"22279606846,70","45,00",Technology,Software & Tech Services,Software,Application Software,Specialty Software,US,Zoom Communications Inc
NEXT US Equity,NEXTDECADE CORP,"2543907082,69","10,00",Energy,Oil & Gas,Oil & Gas Supply Chain,Midstream - Oil & Gas,Liquefied Natural Gas (LNG),US,NextDecade Corp
TTAN US Equity,SERVICETITAN INC-A,"9723542082,03","45,00",Technology,Software & Tech Services,Software,Application Software,#N/A N/A,US,ServiceTitan Inc
IIIV US Equity,I3 VERTICALS INC-CLASS A,"1010546179,43","45,00",Technology,Software & Tech Services,Software,Application Software,Specialty Software,US,I3 Verticals Inc
CASH US Equity,PATHWARD FINANCIAL INC,"1798191202,98","40,00",Financials,Banking,Banking,Banks,#N/A N/A,US,Pathward Financial Inc
